month,questions,year,month_name,year_over_year_change_pct,post_chatgpt,log_questions,rolling_12_month_median
2023-10-01,52341,2023,Oct,-50.528355387523625,True,10.865535281748011,67366.5
2023-11-01,50285,2023,Nov,-53.9307931214556,True,10.82546210087858,64936.0
2023-12-01,42289,2023,Dec,-56.03871262838371,True,10.652282283934888,63063.5
2024-01-01,47577,2024,Jan,-50.767813903433435,True,10.770104730166711,61276.0
2024-02-01,45936,2024,Feb,-46.32390745501286,True,10.735004402360845,56320.0
2024-03-01,44721,2024,Mar,-48.682670461065335,True,10.70819846893854,52514.0
2024-04-01,42372,2024,Apr,-38.04266768047493,True,10.654243045716386,51313.0
2024-05-01,40027,2024,May,-39.667490654769075,True,10.597309505386036,48931.0
2024-06-01,31940,2024,Jun,-49.72295680644755,True,10.371614421769003,46756.5
2024-07-01,31442,2024,Jul,-49.772360580839944,True,10.35589985775146,45328.5
2024-08-01,27788,2024,Aug,-53.650359448234454,True,10.232359551812772,43546.5
2024-09-01,24738,2024,Sep,-53.04724125495852,True,10.116095801934955,42330.5
2024-10-01,23167,2024,Oct,-55.73833132725778,True,10.05048413127047,41158.0
2024-11-01,20813,2024,Nov,-58.609923436412444,True,9.943333070458252,35983.5
2024-12-01,17927,2024,Dec,-57.608361512450045,True,9.79406323525484,31691.0
2025-01-01,18184,2025,Jan,-61.77985160897072,True,9.808297365532379,29615.0
2025-02-01,15506,2025,Feb,-66.24433995123651,True,9.648982324778904,26263.0
2025-03-01,15078,2025,Mar,-66.28429596833702,True,9.620992006771647,23952.5
2025-04-01,11393,2025,Apr,-73.11196072878316,True,9.340754410698116,21990.0
2025-05-01,9649,2025,May,-75.89377170409973,True,9.174609562020384,19498.5
2025-06-01,7752,2025,Jun,-75.72949279899812,True,8.955706153570603,18055.5
2025-07-01,6623,2025,Jul,-78.93581833216716,True,8.798303718484979,16716.5
2025-08-01,5023,2025,Aug,-81.92385202245573,True,8.521782643750045,15292.0
2025-09-01,5668,2025,Sep,-77.08788099280459,True,8.64259160081057,13235.5
2025-10-01,5331,2025,Oct,-76.98882030474381,True,8.581294116822761,10521.0
2025-11-01,5368,2025,Nov,-74.20842742516696,True,8.588210678651517,8700.5
2025-12-01,4195,2025,Dec,-76.5995425893903,True,8.341648618901306,7187.5
2026-01-01,3678,2026,Jan,-79.77342718873734,True,8.210124405164267,6145.5
2026-02-01,3128,2026,Feb,-79.82716367857603,True,8.048149101665201,5518.0
2026-03-01,3179,2026,Mar,-78.91630189680329,True,8.064321960910803,5349.5
2026-04-01,2558,2026,Apr,-77.5476169577811,True,7.846980982138788,5177.0
2026-05-01,2123,2026,May,-77.99771997098145,True,7.660585461703256,4609.0
2026-06-01,1735,2026,Jun,-77.6186790505676,True,7.45876269238096,3936.5
2026-07-01,1188,2026,Jul,-82.06250943681111,True,7.080026499922591,3428.5
2026-08-01,1130,2026,Aug,-77.50348397372089,True,7.029972911706386,3153.5
